size,solutionFound,time
4,1,0.00012183189392089844
4,1,0.00012755393981933594
4,0,3.314018249511719e-05
4,0,5.53131103515625e-05
4,0,5.3882598876953125e-05
4,1,8.606910705566406e-05
4,1,7.724761962890625e-05
4,0,6.389617919921875e-05
4,1,9.584426879882812e-05
4,0,6.961822509765625e-05
4,0,3.886222839355469e-05
4,1,6.031990051269531e-05
4,1,7.724761962890625e-05
4,1,6.175041198730469e-05
4,1,0.00012922286987304688
4,1,0.00013256072998046875
4,1,0.0001266002655029297
4,0,5.745887756347656e-05
4,0,4.363059997558594e-05
4,1,0.00010466575622558594
4,1,8.511543273925781e-05
4,1,5.984306335449219e-05
4,1,5.888938903808594e-05
4,1,6.29425048828125e-05
4,1,8.58306884765625e-05
4,1,6.103515625e-05
4,1,6.222724914550781e-05
4,1,9.393692016601562e-05
4,1,0.00010728836059570312
4,1,9.918212890625e-05
4,0,3.0517578125e-05
4,1,0.000133514404296875
4,1,8.20159912109375e-05
4,0,5.364418029785156e-05
4,0,5.650520324707031e-05
4,0,5.5789947509765625e-05
4,0,5.53131103515625e-05
4,1,0.00010251998901367188
4,1,7.367134094238281e-05
4,0,7.176399230957031e-05
4,0,5.602836608886719e-05
4,0,5.698204040527344e-05
4,0,4.649162292480469e-05
4,1,0.00011682510375976562
4,0,4.124641418457031e-05
4,1,0.00012683868408203125
4,1,5.8650970458984375e-05
4,0,5.888938903808594e-05
4,1,9.942054748535156e-05
4,0,7.677078247070312e-05
4,1,4.839897155761719e-05
4,0,5.555152893066406e-05
4,1,8.0108642578125e-05
4,1,0.00011301040649414062
4,0,5.340576171875e-05
4,1,6.842613220214844e-05
4,0,4.506111145019531e-05
4,1,9.107589721679688e-05
4,0,4.506111145019531e-05
4,1,9.465217590332031e-05
4,0,4.291534423828125e-05
4,1,0.00010156631469726562
4,1,6.175041198730469e-05
4,0,6.961822509765625e-05
4,0,5.221366882324219e-05
4,1,0.00011658668518066406
4,1,0.00010061264038085938
4,1,8.487701416015625e-05
4,1,0.0001232624053955078
4,1,0.00013399124145507812
4,1,8.726119995117188e-05
4,0,6.389617919921875e-05
4,1,0.00010704994201660156
4,0,5.054473876953125e-05
4,0,5.91278076171875e-05
4,1,9.059906005859375e-05
4,0,5.435943603515625e-05
4,0,6.175041198730469e-05
4,1,0.00012564659118652344
4,0,4.124641418457031e-05
4,1,5.0067901611328125e-05
4,0,6.222724914550781e-05
4,0,4.4345855712890625e-05
4,1,0.00010704994201660156
